down_deg,optical_roll_deg,focal_scale,yaw_deg,raw_objective,edge_objective,nid_objective,signal_nmi_objective,structural_line_objective,horizontal_structural_objective,vertical_structural_objective,manhattan_objective,direction_prior_objective,edge_in_frame_points,visible_edge_points,occluded_edge_points,nid_projected_points,signal_nmi_projected_points,horizontal_structural_segments,vertical_structural_segments,edge_active_spatial_cells,structural_visible_segments,edge_coverage_ratio,nid_coverage_ratio,edge_spatial_coverage_ratio,coverage_objective,overlap_valid
21.7684853936,-4.45612870052,1,-184.586405203,0.836582152283,0.34640462415,0.860719460679,0.853795365124,0.934727853949,0.968499540487,0.903245578787,0.597587972229,0,1118,1118,0,1396,843,6,10,19,17,1,0.995720399429,1,6.10499368133e-06,1
21.7684853936,-4.45612870052,1,-183.586405203,0.812947167844,0.345453840532,0.842685494047,0.875810528711,0.868248005819,0.898769214172,0.809906279073,0.596135265077,0,1095,1095,0,1396,849,7,10,19,18,0.979427549195,0.995720399429,1,0.000147180237723,1
21.7684853936,-4.45612870052,1,-182.586405203,0.836010998906,0.352127762306,0.844853031996,0.874272802279,0.96937907624,0.904427525396,1,0.595480013352,0,1077,1077,0,1402,847,7,10,19,19,0.963327370304,1,1,0.000448293922937,1
0,-30,1,-1,inf,0.411273888869,0.811654133484,0.877466331226,0.639001012363,inf,0.639001012363,2.01145518589,0,20,20,0,208,205,0,2,2,2,0.4,0.712328767123,0.666666666667,0.184621949779,0
0,-30,1,0,inf,0.312630612486,0.848668098375,0.870148588343,1,inf,1,2.00388700732,0,35,35,0,250,207,0,4,2,4,0.7,0.856164383562,0.666666666667,0.0739332652224,0
0,-30,1,1,inf,0.134496236058,0.853298598207,0.864730108343,0.911024657523,inf,0.911024657523,1.99797582634,0,51,50,1,292,212,0,4,3,4,1,1,1,0,0
