rank,yaw_deg,down_deg,roll_deg,raw_score,normalized_score,confidence,search_radius_deg,evidence
1,177.5,20,0,0.6793278549,1,0.5680870672,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
2,-132.5,40,0,0.6416369089,0.9445172964,0.4256026536,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
3,-17.5,65,0,0.6334654031,0.9324884863,0.3947116219,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
