rank,yaw_deg,down_deg,roll_deg,raw_score,normalized_score,confidence,search_radius_deg,evidence
1,172.5,25,0,0.7332532889,1,0.8286869726,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
2,-147.5,40,0,0.6878064683,0.9380202976,0.6533657959,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
3,37.5,90,0,0.6772325973,0.9235998087,0.6125747467,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
