rank,yaw_deg,down_deg,roll_deg,raw_score,normalized_score,confidence,search_radius_deg,evidence
1,170,25,0,0.6752691612,1,0.5808852504,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
2,-145,40,0,0.6391468624,0.9465068141,0.4428254759,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
3,-172.5,85,0,0.6389773429,0.9462557741,0.4421775705,10,PERSPECTIVE_CHAMFER,PANORAMA_REMAP"
