rank,yaw_deg,down_deg,roll_deg,raw_score,normalized_score,confidence,search_radius_deg,evidence
1,18.9276979,13.1814958,-64.18627158,0.7791006965,1,0.7791006965,10,"MANHATTAN_SVD|WAHBA_SVD|PROJECTED_CHAMFER"
2,173.075996,-1.657824631,-63.66919874,0.7221679581,0.9269250578,0.7221679581,10,"MANHATTAN_SVD|WAHBA_SVD|PROJECTED_CHAMFER"
3,34.60646633,-21.41229684,-159.5432637,0.6631069364,0.8511183977,0.6631069364,10,"MANHATTAN_SVD|WAHBA_SVD|PROJECTED_CHAMFER"
